utt_id	spkr_id	lang	text	dur	file_id
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A05	A05	urum	gürjistana gäldıh biz turtsia bizä dad vermer	3.655	doreco_urum1249_UUM-TXT-AN-00000-A05
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A06	A06	urum	bänım dädämın babasi spiridon gäldi gretsiadan ämıläriinän barabar	6.91	doreco_urum1249_UUM-TXT-AN-00000-A06
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A08	A08	urum	bänım nahılederdi ki šeidır fs_turtsiada turtsiada dögüš fs_olir turtsiada dögüš olirdi biz ğačtıh gäldıh buraya jinisä	8.53	doreco_urum1249_UUM-TXT-AN-00000-A08
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A10	A10	urum	diillär ki halh yaširdi turtsiada	2.565	doreco_urum1249_UUM-TXT-AN-00000-A10
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A12	A12	urum	bizım babamın dädäsi turtsiadan gäldılär	2.77	doreco_urum1249_UUM-TXT-AN-00000-A12
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A13	A13	urum	elä duimıšıh ište bizlär näsıl gäldıh dädämız äbämız turtsiada dögüš oldi	5.79	doreco_urum1249_UUM-TXT-AN-00000-A13
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A15	A15	urum	bän elä duimištim šei fs_dögüštän dädälärım dädäsi ğačmıšti buraya ište bizdä gäldıh ište ište buraya ambelä šei yašamah	10.39	doreco_urum1249_UUM-TXT-AN-00000-A15
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A16	A16	urum	kim bizım diljä diem	2.357	doreco_urum1249_UUM-TXT-AN-00000-A16
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B01	B01	urum	bizım halh turtsiadan bin gälmıš šeä gürjistana bin dohkuz yuz igirmi elın ičındä näsıl ki biz duimıšıh dädädän atadan	12.585	doreco_urum1249_UUM-TXT-AN-00000-B01
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B02	B02	urum	bizım halh gürjistana gäldi kharstan turkiadan	3.872	doreco_urum1249_UUM-TXT-AN-00000-B02
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B03	B03	urum	fp_aa bizım halh gretsiadan onučun gäldılär ki turklar turklar ğoyurmierdılär onnari orda yašialär	10.893	doreco_urum1249_UUM-TXT-AN-00000-B03
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B06	B06	urum	dögüštän sora čoğ urum halh ğaldi ğapibajasız	4.632	doreco_urum1249_UUM-TXT-AN-00000-B06
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B07	B07	urum	ui_bizım_halh yašierdi ğarsta	2.02	doreco_urum1249_UUM-TXT-AN-00000-B07
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B10	B10	urum	bizım halh gäldi gürjistana čohtan	4.505	doreco_urum1249_UUM-TXT-AN-00000-B10
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B11	B11	urum	nävädä ki bašlandi dögüš turtsiainan gretsiainan bizım halh ui_ğačtılar oyani ui_buyani	7.729	doreco_urum1249_UUM-TXT-AN-00000-B11
